Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,
,,,,,,,,,,,
Estimated crime in Alabama,,,,,,,,,,,
,,,,,,,,,,,
,,National or state crime,,,,,,,,,
,,,,,,,,,,,
,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,
Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft
1985,4021000,18398,396,1079,,4237,12686,140115,41612,88108,10395
1986,4053000,22616,409,1150,,4523,16534,151191,46974,93396,10821
1987,4083000,22833,380,1137,,4581,16735,158918,48927,99260,10731
1988,4127000,23052,408,1228,,4860,16556,165209,50920,103282,11007
1989,4118000,24329,421,1276,,5515,17117,166244,47224,106771,12249
1990,4040587,28630,467,1319,,5805,21039,169974,44585,111336,14053
1991,4089000,34518,469,1455,,6246,26348,184882,51873,118151,14858
1992,4136000,36052,455,1704,,6819,27074,181837,49053,117801,14983
1993,4187000,32676,484,1471,,6677,24044,171598,45578,111878,14142
1994,4219000,28844,501,1487,,7223,19633,178015,44064,119951,14000
1995,4253000,26894,475,1350,,7900,17169,179294,43586,120967,14741
1996,4273000,24159,444,1397,,7124,15194,181803,42821,123350,15632
1997,4319000,24379,426,1396,,6931,15626,186809,43786,127616,15407
1998,4352000,22286,354,1443,,5698,14791,177779,41965,120943,14871
1999,4369862,21421,345,1513,,5297,14266,171398,38648,119616,13134
2000,4447100,21620,329,1482,,5702,14107,180539,40331,127399,12809
2001,4468912,19582,379,1369,,5584,12250,173253,40642,119992,12619
2002,4478896,19931,303,1664,,5962,12002,180400,42578,123932,13890
2003,4503726,19331,299,1656,,6038,11338,182241,43245,124039,14957
2004,4525375,19324,254,1742,,6042,11286,182340,44666,123650,14024
2005,4548327,19678,374,1564,,6447,11293,177393,43473,120780,13140
2006,4599030,19553,382,1646,,7062,10463,181249,44780,121451,15018
2007,4627851,20775,412,1548,,7398,11417,184082,45379,124465,14238
2008,4661900,21110,351,1618,,7346,11795,190416,50411,126539,13466
2009,4708708,21194,322,1504,,6265,13103,178007,48844,118072,11091
2010,4785401,18363,275,1355,,4864,11869,168828,42484,115564,10780
